순위,서비스명,설명,해결하는 주요 문제,카테고리,점수/포인트,타겟 사용자,가격 정보,핵심 기술,웹사이트,Product Hunt 링크
11,Kilo Code for VS Code,"병렬 에이전트 및 다중 모델 비교 - 코드 리뷰 자동화",복잡한 코드 검토 / 다중 AI 모델 비교,Developer Tools / Software Engineering,984,개발자 / 개발팀,구독형,AI 에이전트 / 코드 검토 자동화,https://www.producthunt.com/products/kilocode,https://www.producthunt.com/products/kilocode
12,StoreClaw,"판매 방법을 아는 에이전트로 이커머스 수익 증가",이커머스 판매 최적화 / 개인화 부족,E-Commerce / Marketing Automation,934,이커머스 사업가 / 마케터,구독형,AI 에이전트 / 판매 최적화,https://www.producthunt.com/products/storeclaw,https://www.producthunt.com/products/storeclaw
13,PollyReach,"에이전트에게 실제 번호와 음성으로 통화 기능 제공",음성 통화 자동화 부족 / 에이전트 커뮤니케이션 제한,Virtual Assistants / Productivity,879,AI 개발자 / 고객 서비스 팀,구독형,VoIP / AI 음성 에이전트,https://www.producthunt.com/products/pollyreach,https://www.producthunt.com/products/pollyreach
14,Brew,"이메일 마케팅용 Claude 기반 AI 디자인",복잡한 이메일 템플릿 설계,Email Marketing / Design Tools,985,마케터 / 이메일 캠페인 담당자,구독형,AI 디자인 / 이메일 자동화,https://www.producthunt.com/products/brew-5,https://www.producthunt.com/products/brew-5
15,Tines,"워크스페이스 전체에 통합된 에이전트 및 자동화 구축",복잡한 워크플로우 통합 / 자동화 구축의 어려움,Developer Tools / Security,522,개발자 / 보안팀 / DevOps,구독형,워크플로우 자동화 / 통합 플랫폼,https://www.producthunt.com/products/tines,https://www.producthunt.com/products/tines
16,Unabyss,"AI용 MCP 네이티브 시간 업데이트 컨텍스트 레이어",AI 컨텍스트 관리 복잡성 / 정보 구조화,Productivity / AI,801,AI 개발자 / 모델 관리자,구독형,MCP / 컨텍스트 관리,https://www.producthunt.com/products/unabyss,https://www.producthunt.com/products/unabyss
17,Cursor for iOS,"이동 중 iOS에서 코딩 에이전트로 개발",모바일 개발 환경 부족,Development / AI,473,iOS 개발자 / 모바일 개발자,구독형,모바일 개발 / AI 코딩,https://www.producthunt.com/products/cursor,https://www.producthunt.com/products/cursor
18,Skills Marketplace by Databox,"비즈니스 데이터용 사전 생성된 AI 분석 스킬",비즈니스 인텔리전스 복잡성 / 데이터 분석,Analytics / Marketing,325,데이터 분석가 / 마케터,구독형,AI 분석 / BI 플랫폼,https://www.producthunt.com/products/databox,https://www.producthunt.com/products/databox
19,Foresight by Lightning Rod,"API를 통한 AI 기반 예측 서비스",정확한 예측 모델 구축의 어려움,Developer Tools / API,275,개발자 / 데이터 사이언티스트,구독형,머신러닝 / 예측 API,https://www.producthunt.com/products/training-data-generator,https://www.producthunt.com/products/training-data-generator
20,Akiflow,"Claude, ChatGPT 또는 Cursor에서 작업 및 일정 관리",AI와 캘린더/작업 도구 통합 부족,Task Management / Productivity,222,개인 / 팀 리더,구독형,AI 통합 / 작업 관리,https://www.producthunt.com/products/akiflow,https://www.producthunt.com/products/akiflow
21,Supafax,"당신이 어떻게 일하는지 배우는 이메일 네이티브 어시스턴트",이메일 처리 자동화 부족 / 반복업무,Email / Productivity,211,개인 / 조직,구독형,AI 학습 / 이메일 자동화,https://www.producthunt.com/products/supafax,https://www.producthunt.com/products/supafax
22,v0 Design Systems 2.0,"컴포넌트, 색상, 글꼴, 패턴으로 구축하는 디자인 시스템",디자인 시스템 관리 복잡성 / 브랜드 일관성,Developer Tools / Design,173,디자이너 / 개발자,구독형,디자인 자동화 / 컴포넌트 시스템,https://www.producthunt.com/products/v0,https://www.producthunt.com/products/v0
23,Dayflow,"승진을 도와주는 오픈소스 도구",커리어 발전 추적 및 계획 부족,Productivity / Developer Tools / Open Source,159,직원 / 엔지니어,오픈소스,오픈소스 / 커리어 관리,https://www.producthunt.com/products/dayflow-4,https://www.producthunt.com/products/dayflow-4
24,AgentPeek,"Mac 노치에 Claude Code & Codex",AI 코딩 도구 접근성 / 항시 사용 가능,Developer Tools / Menu Bar Apps,150,Mac 개발자,구독형,AI 코딩 / Mac 통합,https://www.producthunt.com/products/agentpeek,https://www.producthunt.com/products/agentpeek
25,Pluno,"Claude보다 10배 빠른 브라우저 에이전트",느린 AI 브라우징 속도 / 성능 최적화,Productivity / AI / SaaS,148,개발자 / 자동화 전문가,구독형,고속 에이전트 / 브라우저 자동화,https://www.producthunt.com/products/pluno,https://www.producthunt.com/products/pluno
26,Brain2Qwerty v2,"뇌 신호에서 직접 문장 해독 - 비침습적 뇌-컴퓨터 인터페이스",이동 장애인 커뮤니케이션 / 장애 접근성,Tech / Custom Keyboards,134,이동 장애인 / 특수 입력 사용자,구독형,BCI / 뇌 신호 처리,https://www.producthunt.com/products/meta,https://www.producthunt.com/products/meta
27,Tinkerfont,"라이브 웹사이트용 무료 글꼴 플레이그라운드 - 브라우저 확장",웹 폰트 선택 및 테스트의 어려움,Browser Extensions / Chrome Extensions / Design,132,웹 디자이너 / 개발자,무료,브라우저 확장 / 폰트 관리,https://www.producthunt.com/products/tinkerfont,https://www.producthunt.com/products/tinkerfont
28,Load Nova,"디스패처 속도를 위해 구축된 AI 코파일럿 및 대시보드",디스패처 업무 효율성 / 의사결정 속도,Operations / SaaS / Productivity,131,디스패처 / 물류팀 / 운영팀,구독형,AI 최적화 / 대시보드,https://www.producthunt.com/products/load-nova,https://www.producthunt.com/products/load-nova
29,Justwrite,"오프라인으로 작동하는 프라이빗하고 로컬 우선 글쓰기 공간",프라이버시 부족 / 인터넷 의존성 / 클라우드 보안,Writing / Productivity / Notes,116,저널리스트 / 작가 / 개발자,구독형,로컬 저장 / 오프라인 지원 / 프라이버시,https://www.producthunt.com/products/justwrite,https://www.producthunt.com/products/justwrite
30,Oakamo,"나중에 읽을 기사를 위한 조용한 공간 - 독서 관리",정보 오버로드 / 독서 관리 / 정보 분류,News / Productivity / Education,112,독자 / 학생 / 전문가,구독형,콘텐츠 큐레이션 / 독서 관리,https://www.producthunt.com/products/oakamo,https://www.producthunt.com/products/oakamo
31,Framer AI Agents,"AI로 전문적인 웹사이트 설계 및 배포 - 에이전트 기반",웹사이트 설계 복잡성 / 코드 생성 시간,Design Tools / Website Builder / AI,597,웹 디자이너 / 스몰기업 / 스타트업,구독형,AI 디자인 / No-code 플랫폼,https://www.producthunt.com/products/framer,https://www.producthunt.com/products/framer
32,Clade,"이미 사용 중인 도구에서 팀을 관리하는 AI COO",팀 관리 도구 통합 부족 / 다중 도구 관리,SaaS / Productivity / AI,102,팀 리더 / 매니저 / 스타트업,구독형,AI 팀 관리 / 도구 통합,https://www.producthunt.com/products/cleo-4,https://www.producthunt.com/products/cleo-4
33,Bilt.me - Figma,"Figma 디자인에서 실제 모바일 앱 퍼블리시 - No-code 변환",Figma에서 코드 생성까지의 간격 / 설계-개발 과정,Design Tools / Developer Tools / No-Code,100,디자이너 / 개발자 / 디자인 팀,구독형,디자인-코드 변환 / No-code,https://www.producthunt.com/products/bilt-me,https://www.producthunt.com/products/bilt-me
34,DropK,"가장 거슬리지 않는 트레이 - Mac 메뉴 바 최적화",비효율적인 Mac 트레이 메뉴 / 접근성,Productivity / Developer Tools / Menu Bar Apps,89,Mac 사용자 / 개발자,구독형,Mac 통합 / 메뉴 바 최적화,https://www.producthunt.com/products/dropk,https://www.producthunt.com/products/dropk
35,iVox,"1980년대 테이프 편집 효과 업계 최초 앱",빈티지 오디오 효과 부족 / 특화된 음악 도구,Music / Electronic Music,88,음악 프로듀서 / 오디오 엔지니어,구독형,오디오 처리 / VST 플러그인,https://www.producthunt.com/products/ivox,https://www.producthunt.com/products/ivox
36,Midway Chat,"Memberstack 및 Webflow 사이트용 실시간 회원 채팅",No-code 플랫폼의 커뮤니티 기능 부족 / 채팅 통합,No-Code / Social Networking / Community,87,Webflow 사용자 / 커뮤니티 관리자 / 크리에이터,구독형,실시간 채팅 / No-code 통합,https://www.producthunt.com/products/midway-chat,https://www.producthunt.com/products/midway-chat
